archive	path	shape	source	rebuilt	lost
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	Object01:9	9068	8293	775
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrporchldeck01.nif	BYOHBYOHWRporchLDeck01:38	12975	12201	774
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whviolagiorano.nif	WHViolaGiorano:11 - L2_details:11	8263	7489	774
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/highhrothgartowerfloor.nif	Stones02	4453	3690	763
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstemplefacade02.nif	SERuinsTempleFacade02:1	3270	2512	758
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion02.nif	windhelmtempvmansion02:0	13620	12867	753
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whhjerim1.nif	WHHjerim1:0	13620	12867	753
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whhjerim1.nif	WHHjerim1:11	10300	9559	741
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	Object14:9	8508	7780	728
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtorphanage01.nif	RTOrphanage01:1 - L2_Details:1	11538	10828	710
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion1.nif	L2_windhelmtempvmansion1:8	12306	11618	688
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclanshattershield.nif	WHCLanshattershield:11	7600	6915	685
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_column01.nif	StaySkinnedMesh:1	690	12	678
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/clutterkits/impfireplace01.nif	ImpFireplace01:12	4772	4099	673
Skyrim - Meshes0.bsa	meshes/dlc01/soulcairn/sc_boneyardtower01.nif	sc_boneyardtower01:6	5230	4564	666
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testquartergate.nif	testquartergate:0	2646	1996	650
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclanshattershield.nif	WHCLanshattershield:8	12306	11661	645
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovngardeinterior/sovbenchheadtable01.nif	SOVBenchHeadTable01:4	4308	3686	622
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whstonequarterhouses01.nif	WHstonequarterhouses01:11 - L1_details:11 - L2_details:11	9371	8760	611
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinsrmwallfree01.nif	SERuinsRmWallFree01:1	1592	987	605
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/highhrothgartowerfloor.nif	Stones07	3196	2593	603
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg1way01.nif	SERuinsHallBg1Way01:1	1593	1001	592
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testhousevolume2.nif	testhousevolume2:11	9375	8789	586
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrcitywalls/wrwallgatedrawbridge01.nif	WRWallGateDrawBridge01:48	4535	3954	581
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whpalace1.nif	WHpalace1:38	4567	3993	574
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg1way01win01.nif	SERuinsHallBg1Way01Win01:1	1518	947	571
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge03.nif	ShipwreckLarge03:5 - Stairs03:5 - Shack02:5 - Object09:5 - Details03:5 - L1_DetailsShields04:5	21193	20632	561
Skyrim - Meshes0.bsa	meshes/architecture/riften/rthaelgasbunkhouse01.nif	RTHaelgasBunkhouse01:1 - L2_WindowDetail01:1 - L2_WallSupport:1 - L2_WallSupport:1 - L2_WallSupport:1	9030	8480	550
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinsrmwallfree01win01.nif	SERuinsRmWallFree01Win01:1	1422	878	544
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg1way01win02.nif	SERuinsHallBg1Way01Win02:1	1429	894	535
Skyrim - Meshes0.bsa	meshes/architecture/farmhouse/lumbermill01.nif	LumbermillMesh:20	2612	2078	534
Skyrim - Meshes0.bsa	meshes/architecture/solitude/farms/slumbermill01.nif	LumbermillMesh:0	2612	2078	534
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrtowerkint01.nif	BYOHBYOHWRtowerKINT01:38	11042	10513	529
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstempledeck01.nif	UpperRailing:1	4656	4127	529
Skyrim - Meshes0.bsa	meshes/dlc01/clutter/quest/vq07scaffoldbridge01-s0.nif	Bridge:3	553	26	527
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtorphanage01city.nif	RTOrphanage01City:1 - L2_Details02:1	8280	7754	526
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndflwall01.nif	BYOHBYOHWRhub2ndFLWall01:10	2756	2231	525
Skyrim - Meshes0.bsa	meshes/dlc01/clutter/quest/vq07scaffoldbridge01-s1.nif	Bridge:3	553	32	521
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindpalace.nif	tempwindpalace:37	10068	9549	519
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplarge01.nif	Shack:3	2550	2042	508
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargeinside01.nif	Shack01:3	2703	2195	508
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge01.nif	Shack01:3	2550	2042	508
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge03.nif	Shack02:3	2550	2042	508
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/wharena01.nif	Object223:0	10269	9763	506
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipcaptainsbroken01.nif	ShipCaptainsBroken01:3	1896	1392	504
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge02.nif	ShipCaptainsBroken01	1896	1392	504
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombendcap01.nif	RiftenRWRoomBEndCap01:10	1212	713	499
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombendcapshort01.nif	RiftenRWRoomBEndCapShort01:10	1020	521	499
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion03.nif	windhelmtempvmansion03:8	6148	5652	496
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargedaintysload01.nif	Sload	4023	3531	492
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrtowerrint01.nif	BYOHBYOHWRtowerRINT01:38	9405	8918	487
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/highhrothgarfloor01.nif	Stones03	2520	2033	487
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstempledeck01.nif	OuterWall:1	4290	3803	487
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombendcapshortvent01.nif	RiftenRWRoomBEndCapShortVent01:10	1032	548	484
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	Object12:9	7856	7373	483
Skyrim - Meshes0.bsa	meshes/architecture/solitude/cwtower01.nif	Stepsss:1	3062	2585	477
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtcivilwartower01.nif	RTCivilWarTower01:1	4572	4101	471
Skyrim - Meshes0.bsa	meshes/architecture/riften/blackbriarchalet.nif	BlackBriarChalet:1 - L2_Supports:1	6113	5645	468
Skyrim - Meshes0.bsa	meshes/architecture/solitude/scwgate.nif	Stepsss01:1	3102	2636	466
