archive	path	shape	source	rebuilt	lost
Skyrim - Meshes0.bsa	meshes/architecture/riften/interior/smallroomsingle/rifrmsmsinglecorinl01.nif	RifRmSmSingleCorInL01:1	1076	1046	30
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtcanalsplazar01.nif	RTCanalsPlazaR01:10	443	413	30
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtfishery01city.nif	RTFishery01City:23	1062	1032	30
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtkeep01.nif	BarracksRoof:22	105	75	30
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtmarketstall01.nif	RTMarketStall01:22	172	142	30
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtsnowshoddeck02.nif	RTSnowShodDeck02:1	1428	1398	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/sarchendc.nif	SArchEndC:1	1188	1158	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slggwalendsec01.nif	SLgGWalEndSec01:26	126	96	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdadorint02.nif	SMdADorInt02:1	752	722	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdastasol02.nif	S01	432	402	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdastasol02b.nif	S03:21	398	368	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdastasol02b.nif	S02	452	422	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdctocdor01.nif	SMdCtoCDor01:1	450	420	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sbluepalace.nif	SBluePalaceRoofMesh:26	612	582	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sbluepalace.nif	BluePalaceMesh:10	2471	2441	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sbluepalaceroof.nif	SBluePalaceRoofMesh:26	612	582	30
Skyrim - Meshes0.bsa	meshes/architecture/solitude/serikur house.nif	SErikur HouseMesh:2	1608	1578	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrcastlestonetower01porchint.nif	WRCastleStoneTower01PorchINT:9	1864	1834	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrstableplatstr01.nif	WRStablePlatStr01:15	78	48	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrcastle/wrintcastleceilingstoneopen256cap.nif	WRIntCastleCeilingStoneOpen256Cap:55	56	26	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrdungeon/wrdunintarch768fireplace01.nif	WRDunIntArch768FirePlace01:54	167	137	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrintwallstrchimney02.nif	WRIntWallStrChimney02:9	172	142	30
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrtemple/wrtempintdivwallstr01.nif	WRTempIntDivWallStr01:40	204	174	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/castle/whintcastlehallstair01.nif	WHIntStairs01XXX:15	671	641	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindclanshatter.nif	tempwindclanshatter:19	1082	1052	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindtempletalos.nif	tempwindtempletalos:44	1011	981	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testroof2delete.nif	WHBrunwulf:13	238	208	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/whgrayquarter.nif	gqwall6:22	772	742	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion03.nif	windhelmtempvmansion03:12	1113	1083	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whgrayquarter02.nif	gqwall43:22	772	742	30
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whstonequarterhouses01.nif	WHstonequarterhouses01:22 - L1_details:22 - L2_details:22	2662	2632	30
Skyrim - Meshes0.bsa	meshes/clothes/farmclothes01/1stpersontorsom_1.nif	MaleUnderwearBody_02	88	58	30
Skyrim - Meshes0.bsa	meshes/clutter/common/fishingpolecollection01.nif	FishingPoleCollection:0	2671	2641	30
Skyrim - Meshes0.bsa	meshes/clutter/helgen/helgengate02.nif	DoorLeft01:5	458	428	30
Skyrim - Meshes0.bsa	meshes/clutter/signage/riften/signrtorphanage01.nif	SignRTOrphanage01:11	348	318	30
Skyrim - Meshes0.bsa	meshes/clutter/statues/shrineofboethiah01.nif	ShrineOfBoethiah01:12	7376	7346	30
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/dawnguard/dintcapstairs01.nif	DIntCapStairs01:1	308	278	30
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/dlc1house/interface/byohinterfaceuppertablesquare01.nif	BYOHinterfaceUpperTableSquare01:3	926	896	30
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_blastroof.nif	ColumnToppers_Elements3:1	745	715	30
Skyrim - Meshes0.bsa	meshes/dlc01/dungeons/castle/smrooms/cassmrmcorout01.nif	CasSmRmCorOut01:9	122	92	30
Skyrim - Meshes0.bsa	meshes/dlc01/dungeons/castle/smrooms/cassmrmwall01.nif	CasSmRmWall01:9	106	76	30
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/telvannitower/dlc2telvannitowermainint01.nif	Object04:1	15024	14994	30
Skyrim - Meshes0.bsa	meshes/dlc02/dungeons/apocrypha/platform/apoplatbcorout01.nif	ApoPlatBCorOut01:7	54	24	30
Skyrim - Meshes0.bsa	meshes/dlc02/lod/thirsk/dlc2thirskmeadhallexterior01_lod.nif	DLC2ThirskMeadHallExterior01_LOD:69	1405	1375	30
Skyrim - Meshes0.bsa	meshes/dlc02/lod/thirsk/dlc2thirskmeadhallexterior01_lod_2.nif	DLC2ThirskMeadHallExterior01_LOD_2:69	1089	1059	30
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/astrolabe/lexiconstand/dwelexiconstandblank01.nif	Frame02:38	767	737	30
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/astrolabe/lexiconstand/dwelexiconstandcorrupt01.nif	Frame02:38	767	737	30
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/astrolabe/lexiconstand/dwelexiconstandrunes01.nif	Frame02:38	767	737	30
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/observatory/fxdwecenterlightbeamobservatory.nif	BeamMeshStatic120	82	52	30
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/clutter/dwefarm02int.nif	DweFarm02Int:25	870	840	30
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/clutterkits/impfreewall01.nif	ImpFreeWall01:14	180	150	30
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/largehall/implhalldoorbb01.nif	ImpLHallDoorBB01:7	1231	1201	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bgrooms/norrmbgwallfront01.nif	NorRmBgWallFront01:5	529	499	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bgrooms/norrmbgwallfrontexsm01.nif	NorRmBgWallFrontExSm01:5	529	499	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bgrooms/norrmbgwallfrontforgebase01.nif	NorRmBgWallFrontForgeBase01:5	543	513	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgepitwallfront01.nif	NorBridgePitWallFront01:5	1226	1196	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgepitwallfront01exsm02.nif	NorBridgePitWallFront01ExSm02:5	1443	1413	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgepitwallfront02.nif	NorBridgePitWallFront02:5	1338	1308	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgepitwallfront02exsm02.nif	NorBridgePitWallFront02ExSm02:5	1443	1413	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgepitwallfront03.nif	NorBridgePitWallFront03:5	1320	1290	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgermbgwallfront02exsm02.nif	NorBridgeRmBgWallFront02ExSm02:5	490	460	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgermbgwallfrontexsm01.nif	NorBridgeRmBgWallFrontExSm01:5	510	480	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/bridges/norbridgermbgwallfrontexsm02.nif	NorBridgeRmBgWallFrontExSm02:5	528	498	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/pits/norpitwallfront01.nif	NorPitWallFront01:5	1500	1470	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/pits/norpitwallfront02.nif	NorPitWallFront02:5	1500	1470	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/pits/norpitwallfronttormbgfrontr01.nif	NorPitWallFrontToRmBgFrontR01:5	610	580	30
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/pits/norpitwallsidestairs02.nif	NorPitWallSideStairs02:0	2549	2519	30
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombstairs01.nif	RiftenRWRoomBStairs01:2	669	639	30
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwayhall/riftenrwhallstairs01.nif	Stairs:2	669	639	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamdustbig01.nif	BeamMeshStatic07	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamdustbig_dim01.nif	BeamMeshStatic91	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamdustbigdim01.nif	BeamMeshStatic47	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamslowfogbig01.nif	BeamMeshStatic120	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamslowfogbig_dim01.nif	BeamMeshStatic47	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamsmokebig01.nif	BeamMeshStatic12	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamsmokebig_dim01.nif	BeamMeshStatic105	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamwetmistbig01.nif	BeamMeshStatic38	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamwetmistbig_dim01.nif	BeamMeshStatic113	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamxbdustbig01.nif	BeamMeshStatic22	82	52	30
Skyrim - Meshes0.bsa	meshes/effects/ambient/fxambbeamxbdustbig_dim01.nif	BeamMeshStatic82	82	52	30
Skyrim - Meshes1.bsa	meshes/lod/highhrothgar/highhrothgarentrance01_lod.nif	HighHrothgarEntrance01_Lod:1	214	184	30
Skyrim - Meshes1.bsa	meshes/traps/swingingblade/trapbladeswinginghub01.nif	TrapBladeSwingingHub01:39	696	666	30
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrporchkext01.nif	BYOHBYOHWRporchKEXT01:10	150	121	29
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/interface/byohinterfacemtnslaughterfish01.nif	BYOHinterfaceMTNslaughterfish01:0	189	160	29
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/interface/byohinterfacenobletableroundchairs01.nif	BYOHinterfaceNobleTableRoundChairs01:0	872	843	29
Skyrim - Meshes0.bsa	meshes/actors/character/character assets/hair/male/hair13.nif	Hair13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001f97c.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/dragonborn.esm/000277fc.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/dragonborn.esm/0003888b.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/dragonborn.esm/0003d221.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0001334e.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00013394.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0001360d.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00013652.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00013bb2.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0001675c.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00019a22.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0002f2dc.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00033828.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00037c47.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00039cff.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00039d21.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00039d4a.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0003def1.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0004427f.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00044311.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00045c8c.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0004e5e9.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0006d235.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00084550.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/00087b93.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000aa932.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000aa943.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000ad7b6.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000c49dc.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000cd6bc.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000d6703.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000d7d7d.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/000e103e.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/001068f8.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/001092d1.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0010a1a4.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/character/facegendata/facegeom/skyrim.esm/0010c458.nif	HairMaleNord13	1043	1014	29
Skyrim - Meshes0.bsa	meshes/actors/dlc01/chaurusflyer/chaflyer_staticpose2.nif	Pose2:0	3178	3149	29
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/hhlgbaysmend01.nif	HHLgBaySmEnd01:1	726	697	29
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/hhlgbaysmend02.nif	HHLgBaySmEnd02:1	720	691	29
Skyrim - Meshes0.bsa	meshes/architecture/riften/interior/smallroomfirst/rifrmsmfirstcorinrhalf02.nif	RifRmSmFirstCorInRHalf02:1	540	511	29
Skyrim - Meshes0.bsa	meshes/architecture/riften/interior/smallroomfirst/rifrmsmsecretcabinetdoor01.nif	RightDoor01:28	1341	1312	29
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtirongate01.nif	Gate:5	1310	1281	29
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtmercerfreys01.nif	RTMercerFreys01:17	399	370	29
Skyrim - Meshes0.bsa	meshes/architecture/riften/rttempleplazar01.nif	RTTemplePlazaR01:17	356	327	29
Skyrim - Meshes0.bsa	meshes/architecture/skyhaventemple/skyhaventempletemplayout01.nif	Object35:8	2088	2059	29
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/sarchstrb.nif	SArchStrB:1	1145	1116	29
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slgccolcap02.nif	SLgCColCap02:1	102	73	29
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slgcdorcon01.nif	SLGCDorCon01:2	582	553	29
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdcdorcon01.nif	SMdCDorCon01:1	831	802	29
Skyrim - Meshes0.bsa	meshes/architecture/solitude/spatiowall45.nif	SPatioWall45:4	222	193	29
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovngardeinterior/sovintfloorfireplace01.nif	SOVintFloorFirePlace01:10	41	12	29
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrjorvaskr/wrintchfloorwoodfoyer01.nif	WRIntCHFloorWoodFoyer01:48	102	73	29
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrterrain/wrtreecircle01.nif	WRTreeCircle01:27	302	273	29
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/whinttemple01.nif	WHIntTemple01:39	3474	3445	29
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whviolagiorano.nif	WHViolaGiorano:63 - L2_details:63	450	421	29
Skyrim - Meshes0.bsa	meshes/clothes/monk/fxmonkvariant2.nif	Circle07	46	17	29
Skyrim - Meshes0.bsa	meshes/clutter/common/endtable01.nif	EndTable01:0	749	720	29
Skyrim - Meshes0.bsa	meshes/clutter/ruins/ruinsfurniturerubble14.nif	RuinsFurnitureRubble14:4	403	374	29
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinscolumnrubbles01.nif	Column 1:1	1327	1298	29
Skyrim - Meshes0.bsa	meshes/dlc01/dungeons/castle/animated/fireplace/cassmhallfireplaceex01.nif	Wall01:8	110	81	29
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/ravenrock/bulwark/dlc2rrbulwarktemp01.nif	DLC2RRBulwarkTemp01:4	301	272	29
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/ravenrock/dlc2rrbuilding03.nif	DLC2RRBuilding03:11	401	372	29
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/skaalvillage/dlc2skaalvilcastleintdoorway01.nif	DLC2SkaalVilCastleIntDoorway01:2	161	132	29
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/thirsk/meadhall/dlc2thirskmeadhallinterior01.nif	DLC2ThirskMeadHallInterior01:60	873	844	29
Skyrim - Meshes0.bsa	meshes/dlc02/dungeons/dwemer/readingroom/dlc2dwereadrmext01.nif	DLC2DweReadRmEXT01:2	4731	4702	29
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/doors/animated/wooddoor/ruinswooddoorload01.nif	Ruins_WoodenDoor04:4	576	547	29
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargekatariah01.nif	ShipLargeKatariah01:13	684	655	29
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargekatariah01.nif	AlphaStains	894	865	29
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge04.nif	ShipwreckLarge04:4	1018	989	29
Skyrim - Meshes0.bsa	meshes/effects/fxda09meridiaswordglow.nif	BigGLow:2	46	17	29
Skyrim - Meshes0.bsa	meshes/effects/fxsolitudelighthouseglow.nif	BigGLow02:2	46	17	29
Skyrim - Meshes0.bsa	meshes/effects/greybeardwords/fxgreybeardshoutdun.nif	DUNstreaks	856	827	29
Skyrim - Meshes0.bsa	meshes/furniture/firespitcooking.nif	FireSpitCookingFrame:17	1728	1699	29
Skyrim - Meshes1.bsa	meshes/interface/lockpicking/lockpickshiv01.nif	LockPickLock01:2	3098	3069	29
Skyrim - Meshes1.bsa	meshes/magic/alterposimpact01.nif	Circle01:2	46	17	29
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhubext01.nif	BYOHBYOHWRhubEXT01:15	124	96	28
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhubroof01.nif	BYOHBYOHWRhubRoof01:2	500	472	28
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrlonghslext01.nif	BYOHBYOHWRlonghsLEXT01:10	222	194	28
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrlonghsrext01.nif	BYOHBYOHWRlonghsREXT01:10	222	194	28
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/interface/byohinterfacefishhatchery01.nif	BYOHinterfaceFishHatchery01:0	140	112	28
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/hhlgbaylendlb.nif	HHLgBayLEndLb:16	51	23	28
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/hhmainhalllgbaycon01.nif	HHMainHallLgBayCon01:10	288	260	28
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/hhmainhalllgbaycon02.nif	HHMainHallLgBayCon02:10	288	260	28
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/highhrothgartowerfloor.nif	HHMainStaris10:0	506	478	28
Skyrim - Meshes0.bsa	meshes/architecture/markarth/mrkfrontwallmain02extt01.nif	MrkFrontWallMain02ExtT01:60	1906	1878	28
Skyrim - Meshes0.bsa	meshes/architecture/riften/interior/smallroomsecond/rifrmsmsecondwall01.nif	RifRmSmSecondWall01:1	727	699	28
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtcanalsl02inner01.nif	RTCanalsL02Inner01:11 - L2_RTCanalsL02Inner01:11	468	440	28
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtfishery01city.nif	RTFishery01City:24	991	963	28
Skyrim - Meshes0.bsa	meshes/architecture/skyhaventemple/skyhaventempletemplayout01.nif	Object74:8	1354	1326	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/cwtower01.nif	CWTower01:7	120	92	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slgccolsol02.nif	SLgCColSol02:2	1350	1322	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slgfstasol01.nif	SLgFStaSol01:21	737	709	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/slgshadowswin01.nif	SLgShadowsWin01:5	108	80	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/interiors/smdftracor02.nif	SMdFTraCor02:26	64	36	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/scwgate.nif	CWTower03:7	120	92	28
Skyrim - Meshes0.bsa	meshes/architecture/solitude/smuseleum.nif	Museleum Moss	962	934	28
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovdoortalll.nif	DoorTallL:12	1762	1734	28
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovngardeinterior/sovintplatformstrcustom01.nif	SOVintPlatformStrCustom01:17	640	612	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/fort/t_marketstand01.nif	T_MarketStand01:6	362	334	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrlodwindowglow01.nif	WRLODWindowGlow01:0	676	648	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrstableplatend01.nif	WRStablePlatEnd01:29	66	38	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrstableplatend01.nif	WRStablePlatEnd01:15	72	44	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrclutter/wrtemplebench01.nif	WRTempleBench01:42	114	86	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrclutter/wrtemplebench01static.nif	WRTempleBench01Static:42	114	86	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrcastle/wrintdragonroomwallcorl.nif	WRIntDragonRoomWallCorL:55	182	154	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrcastle/wrintdragonroomwallcorl01.nif	WRIntDragonRoomWallCorL01:55	182	154	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrintfloordirtstrstairsdown01.nif	WRIntFloorDirtStrStairsDown01:42	60	32	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrintloftrailendpost01.nif	WRIntLoftRailEndPost01:2	99	71	28
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrtemple/wrtempintpromarch01.nif	WRTempIntPromArch01:41	268	240	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/doors/whcastledoorentrance.nif	WHDoor02:0	580	552	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/docks/whintdockroofmidtop01.nif	WHIntDockRoofMidTop01:11	152	124	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/docks/whintdockroofmidtop02.nif	WHIntDockRoofMidTop02:11	152	124	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/gray quarter/whintwoodroofmidtopgq01.nif	WHIntWoodRoofMidTopGQ01:11	152	124	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/gray quarter/whintwoodroofmidtopgq02.nif	WHIntWoodRoofMidTopGQ02:11	152	124	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/gray quarter/whintwoodwallwoodshortsupport01.nif	WHIntWoodWallWoodShortSupport01:64	56	28	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/gray quarter/whintwoodwallwoodshortsupportgq01.nif	WHIntWoodWallWoodShortSupportGQ01:64	56	28	28
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintwoodroofmidtop01.nif	WHIntWoodRoofMidTop01:11	152	124	28
